s002,1,60
s003,3,9
s004,1,10
s005,6,1
s007,3,13
s008,1,13
s010,2,15
s011,1,48
s012,1,0
s013,1,55
s015,1,77
s016,2,13
s017,1,0
s018,1,116
s019,1,13
s020,1,10
s021,1,23
s022,1,16
s024,1,12
s025,4,4
s026,1,10
s027,1,104
s028,1,17
s029,2,8
s030,1,17
s031,2,31
s032,3,14
s033,1,105
s034,1,294
s035,4,0
s036,2,0
s037,2,29
s038,4,9
s039,1,3
s040,1,48
s041,3,18
s042,3,10
s043,1,3
s044,1,22
s046,1,195
s047,1,37
s048,2,38
s049,4,3
s050,1,21
s051,2,92
s052,2,11
s053,6,1
s054,1,222
s055,4,1
s056,1,57
s057,1,68
