Feature_ID,Mutual_Information,F_score,Feature_Importance,RFE_ranking,Feature_Labels
49,0.0,0.13812878805872172,1.7648952240845384e-05,189,x1_Apache/2.2.25 (Unix) mod_ssl/2.2.25 OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,
50,0.0,0.2764345508619133,9.44593965022908e-05,76,x1_Apache/2.2.26 (Unix) mod_ssl/2.2.26 OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4 PHP/5.4.26,
51,0.00023495196455880496,0.13812878805872172,2.81626859644173e-05,204,x1_Apache/2.2.26 (Unix) mod_ssl/2.2.26 OpenSSL/1.0.1e-fips DAV/2 mod_bwlimited/1.4,
52,0.0014401014762766007,0.4149176287456223,3.849013208196347e-05,203,x1_Apache/2.2.27 (CentOS),
53,0.0,0.13812878805872172,0.0,233,x1_Apache/2.2.27 (Unix) OpenAM Web Agent/4.0.1-1 mod_ssl/2.2.27 OpenSSL/1.0.1p PHP/5.3.28,
54,0.0,0.2764345508619133,0.0,166,x1_Apache/2.2.29 (Amazon),
55,0.004659853498125477,0.13812878805872172,1.5647985130495524e-05,165,x1_Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips DAV/2 mod_bwlimited/1.4,
56,0.00034118287982276563,0.6208836935770975,0.0006341781268385306,61,x1_Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips mod_bwlimited/1.4,
57,0.0,0.2764345508619133,3.249257646565096e-08,193,x1_Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips mod_bwlimited/1.4 PHP/5.4.35,
58,0.00933414255736209,0.4149176287456223,4.528218893615151e-05,110,x1_Apache/2.2.3 (CentOS),
59,0.0,0.13812878805872172,1.4343955871527556e-06,238,x1_Apache/2.2.3 (Red Hat),
60,0.00604173856320922,0.8314341693553896,0.00019796383725525856,16,x1_Apache/2.2.31 (Amazon),
61,0.002295562832015152,8.405156756203944,0.0013950800300533623,5,x1_Apache/2.2.31 (CentOS),
62,0.0,0.13812878805872172,9.66210658014131e-05,164,x1_Apache/2.2.31 (FreeBSD) PHP/5.4.15 mod_ssl/2.2.31 OpenSSL/1.0.2d DAV/2,
63,0.007606503958202282,0.13812878805872172,2.8967118028753433e-05,170,x1_Apache/2.2.31 (Unix) mod_ssl/2.2.31 OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,
64,0.003872602807230674,0.13812878805872172,4.743518063735875e-05,99,x1_Apache/2.2.31 (Unix) mod_ssl/2.2.31 OpenSSL/1.0.1e-fips mod_bwlimited/1.4,
65,0.0,0.2764345508619133,7.082123136081386e-07,151,x1_Apache/2.2.31 (Unix) mod_ssl/2.2.31 OpenSSL/1.0.1e-fips mod_bwlimited/1.4 mod_fcgid/2.3.9,
66,0.0030823336534337997,0.13812878805872172,1.1339644171618529e-05,247,x1_Apache/2.2.31 (Unix) mod_ssl/2.2.31 OpenSSL/1.0.1e-fips mod_bwlimited/1.4 mod_perl/2.0.8 Perl/v5.10.1,
67,0.0,0.5535783629191106,1.88253408051331e-05,122,x1_Apache/2.2.32,
68,0.0,0.4149176287456223,3.09361257778245e-05,130,x1_Apache/2.4,
69,0.0018883364424508997,0.13812878805872172,1.2416849847945342e-05,236,x1_Apache/2.4.10,
70,0.0,0.2764345508619133,1.2759114260344544e-06,157,x1_Apache/2.4.10 (Debian),
71,0.009500906756080951,0.13812878805872172,9.833519691273521e-08,178,x1_Apache/2.4.10 (Debian) PHP/5.6.30-0+deb8u1 mod_perl/2.0.9dev Perl/v5.20.2,
72,0.016722199794527715,0.13812878805872172,0.00011905503014389753,150,x1_Apache/2.4.10 (Ubuntu),
73,0.0,0.13812878805872172,3.5571699779664494e-05,142,x1_Apache/2.4.10 (Unix) OpenSSL/1.0.1k,
74,0.006798323161177455,0.13812878805872172,2.0178815142373853e-05,227,x1_Apache/2.4.12 (Ubuntu),
75,0.0,0.2764345508619133,2.4634795050908608e-05,152,x1_Apache/2.4.12 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,
76,0.002369114654316773,0.13812878805872172,2.7233998267760374e-05,163,x1_Apache/2.4.16 (Ubuntu),
77,0.0,0.13812878805872172,5.095807467982694e-05,108,x1_Apache/2.4.17 (Unix) OpenSSL/1.0.1e-fips PHP/5.6.19,
78,0.0094305404233479,0.5535783629191106,0.0001529929415068444,121,x1_Apache/2.4.18 (Ubuntu),
79,0.0,0.13812878805872172,1.236845565159636e-05,254,x1_Apache/2.4.18 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,
80,0.0,0.13812878805872172,0.0,207,x1_Apache/2.4.18 (Unix) OpenSSL/1.0.2e Communique/4.1.10,
81,0.0019572727551575575,0.13812878805872172,1.5037771377396842e-05,201,x1_Apache/2.4.23 (Unix),
